序号,动作编码,当前名称,当前器械,当前一级分类,当前子分类,当前主动肌,当前主动肌region,当前协同肌,当前协同肌region,名称结论,分类结论,肌群结论,总评,建议名称,建议器械,建议一级分类,建议子分类,建议主动肌,建议主动肌region,建议协同肌,建议协同肌region,调整建议,事实依据摘要,证据ID,原备注
11,MACHINE_INCLINE_PRESS,上斜器械推胸,器械,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,上斜器械推胸,器械,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,保留
12,HAMMER_CHEST_PRESS,悍马机推胸,悍马机,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,悍马机推胸,悍马机,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留，线上有历史
13,INCLINE_HAMMER_CHEST_PRESS,上斜悍马机推胸,悍马机,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,上斜悍马机推胸,悍马机,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留，线上有历史
14,HAMMER_BENCH_PRESS,悍马机卧推,悍马机,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,悍马机卧推,悍马机,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,保留；卧姿动作，不与坐姿悍马机推胸合并
15,DB_FLY,哑铃飞鸟,哑铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,建议调整,建议调整,哑铃飞鸟,哑铃,胸,中下胸,胸大肌,chest,三角肌前束,deltFront,调整协同肌：飞鸟/夹胸类移除肱三头肌，仅保留三角肌前束作为可见协同。,飞鸟/夹胸类主目标是胸大肌，前束可参与；三头不是主要协同，当前协同肌需收紧。,E3|E2|P0,必留
16,INCLINE_DB_FLY,上斜哑铃飞鸟,哑铃,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,建议调整,建议调整,上斜哑铃飞鸟,哑铃,胸,上胸,胸大肌,chest,三角肌前束,deltFront,调整协同肌：飞鸟/夹胸类移除肱三头肌，仅保留三角肌前束作为可见协同。,飞鸟/夹胸类主目标是胸大肌，前束可参与；三头不是主要协同，当前协同肌需收紧。,E3|E2|P0,保留
17,CABLE_CROSSOVER,绳索夹胸,绳索,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,建议调整,建议调整,绳索夹胸,绳索,胸,中下胸,胸大肌,chest,三角肌前束,deltFront,调整协同肌：飞鸟/夹胸类移除肱三头肌，仅保留三角肌前束作为可见协同。,飞鸟/夹胸类主目标是胸大肌，前束可参与；三头不是主要协同，当前协同肌需收紧。,E3|E2|P0,必留
18,HIGH_CABLE_FLY,高位绳索夹胸,绳索,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,建议调整,建议调整,高位绳索夹胸,绳索,胸,中下胸,胸大肌,chest,三角肌前束,deltFront,调整协同肌：飞鸟/夹胸类移除肱三头肌，仅保留三角肌前束作为可见协同。,飞鸟/夹胸类主目标是胸大肌，前束可参与；三头不是主要协同，当前协同肌需收紧。,E3|E2|P0,保留
19,LOW_CABLE_FLY,低位绳索夹胸,绳索,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,建议调整,建议调整,低位绳索夹胸,绳索,胸,上胸,胸大肌,chest,三角肌前束,deltFront,调整协同肌：飞鸟/夹胸类移除肱三头肌，仅保留三角肌前束作为可见协同。,飞鸟/夹胸类主目标是胸大肌，前束可参与；三头不是主要协同，当前协同肌需收紧。,E3|E2|P0,保留
20,PEC_DECK_FLY,蝴蝶机夹胸,器械,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,建议调整,建议调整,蝴蝶机夹胸,器械,胸,中下胸,胸大肌,chest,三角肌前束,deltFront,调整协同肌：飞鸟/夹胸类移除肱三头肌，仅保留三角肌前束作为可见协同。,飞鸟/夹胸类主目标是胸大肌，前束可参与；三头不是主要协同，当前协同肌需收紧。,E3|E2|P0,必留
21,CHEST_DIP,双杠臂屈伸（胸）,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,双杠臂屈伸（胸）,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,俯卧撑/臂屈伸类为胸、前三角、三头共同参与；窄距/钻石变体更偏三头。,E4|E1|P0,必留
22,PUSH_UP,俯卧撑,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,俯卧撑,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,俯卧撑/臂屈伸类为胸、前三角、三头共同参与；窄距/钻石变体更偏三头。,E4|E1|P0,必留
23,INCLINE_PUSH_UP,上斜俯卧撑,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,上斜俯卧撑,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,俯卧撑/臂屈伸类为胸、前三角、三头共同参与；窄距/钻石变体更偏三头。,E4|E1|P0,保留
24,DECLINE_PUSH_UP,下斜俯卧撑,自重,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,下斜俯卧撑,自重,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,俯卧撑/臂屈伸类为胸、前三角、三头共同参与；窄距/钻石变体更偏三头。,E4|E1|P0,保留
25,DIAMOND_PUSH_UP,钻石俯卧撑,自重,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,建议调整,建议调整,建议调整,钻石俯卧撑,自重,手臂,,肱三头肌,triceps,胸大肌、三角肌前束,chest|deltFront,建议改归手臂/三头；若产品坚持放胸，至少把主动肌改为肱三头肌，胸和前三角作协同。,俯卧撑/臂屈伸类为胸、前三角、三头共同参与；窄距/钻石变体更偏三头。,E4|E1|P0,保留
26,PULL_UP,引体向上,自重,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,引体向上,自重,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,必留，线上高频
27,CHIN_UP,反握引体向上,自重,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,反握引体向上,自重,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留
28,WIDE_PULL_UP,宽握引体向上,自重,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,宽握引体向上,自重,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留
29,ASSISTED_PULL_UP,辅助引体向上,器械,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,辅助引体向上,器械,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,必留，线上有历史
30,LAT_PULLDOWN,高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,必留，默认宽握，线上高频
31,CLOSE_LAT_PULLDOWN,窄握高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,窄握高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,必留，线上有历史
32,NEUTRAL_GRIP_PULLDOWN,对握高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,对握高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,必留，线上计划有历史
33,REVERSE_LAT_PULLDOWN,反握高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,反握高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留
34,V_BAR_PULLDOWN,V-bar 下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,V-bar 下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,名称准确；注意不要与“窄握高位下拉/对握高位下拉”重复展示过多，当前可保留。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留，线上有历史
35,SINGLE_ARM_LAT_PULLDOWN,单臂高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,单臂高位下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留，线上有历史
36,MACHINE_PULLDOWN,器械下拉,器械,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,器械下拉,器械,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留
37,HAMMER_PULLDOWN,悍马机下拉,悍马机,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,悍马机下拉,悍马机,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,必留，线上有历史
38,SINGLE_ARM_HAMMER_PULLDOWN,单臂悍马机下拉,悍马机,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,通过,通过,单臂悍马机下拉,悍马机,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,保留当前名称、分类和肌群。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留，线上有历史
39,STRAIGHT_ARM_PULLDOWN,直臂下压,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,直臂下压,绳索,背,,背阔肌,lats,肱三头肌、三角肌后束,triceps|deltRear,调整协同肌：直臂下压主要不是二头弯曲参与，建议用肱三头肌长头/后三角近似协同。,直臂下压是肩伸为主的背阔动作，肘关节不做主要屈伸；当前把肱二头肌列为协同偏离动作机制。,E5|P0,必留，线上有历史
40,BB_ROW,杠铃划船,杠铃,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,杠铃划船,杠铃,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留，线上高频
41,PENDLAY_ROW,潘德利划船,杠铃,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,潘德利划船,杠铃,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留
42,T_BAR_ROW,T杠划船,T杠,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,T杠划船,T杠,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留
43,DB_BENT_OVER_ROW,哑铃划船,哑铃,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,哑铃划船,哑铃,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,名称作为双臂/泛称可保留；如需和单臂哑铃划船更清楚，可改“俯身哑铃划船”。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留
44,SINGLE_ARM_DB_ROW,单臂哑铃划船,哑铃,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,单臂哑铃划船,哑铃,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留
45,DB_PRONE_ROW,俯卧哑铃划船,哑铃,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,俯卧哑铃划船,哑铃,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,名称准确，肌群按划船类补 lats。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上有历史
46,SEATED_CABLE_ROW,坐姿绳索划船,绳索,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,坐姿绳索划船,绳索,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留，线上有历史
47,V_BAR_ROW,V-bar 划船,绳索,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,V-bar 划船,绳索,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上有历史
48,WIDE_SEATED_ROW,宽握坐姿划船,绳索,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,宽握坐姿划船,绳索,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上有历史
49,MACHINE_ROW,坐姿器械划船,器械,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,坐姿器械划船,器械,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留，线上计划有历史
50,MACHINE_SINGLE_ARM_ROW,单臂器械划船,器械,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,单臂器械划船,器械,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上有历史
51,HAMMER_ROW,悍马机划船,悍马机,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,悍马机划船,悍马机,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,必留，线上有历史
52,SINGLE_ARM_HAMMER_ROW,单臂悍马机划船,悍马机,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,单臂悍马机划船,悍马机,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上有历史
53,SMITH_OVERHAND_ROW,史密斯正手划船,史密斯,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,史密斯正手划船,史密斯,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上自定义有历史；与反手区分
54,SMITH_REVERSE_ROW,史密斯反手划船,史密斯,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,史密斯反手划船,史密斯,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,保留背阔+中背双主动肌；当前已比其他划船更准确。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留；与正手区分
55,SPLIT_HIGH_ROW,分动式高位划船,器械,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,分动式高位划船,器械,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留，线上计划有历史
56,INVERTED_ROW,反式划船,自重,背,,菱形肌/中背,rhomboids,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,反式划船,自重,背,,背阔肌、菱形肌/中背,lats|rhomboids,肱二头肌、三角肌后束,biceps|deltRear,补齐背阔肌为主动肌；仅用菱形肌会低估划船类对背阔/中背的共同训练。,划船类不是单纯菱形肌动作，背阔肌和中背同时参与；建议补齐 lats 以免高亮偏窄。,E6|P0,保留
57,DEADLIFT,硬拉,杠铃,背,,竖脊肌/下背,lowerBack,,,通过,通过,建议调整,建议调整,硬拉,杠铃,背,,竖脊肌/下背、臀大肌,lowerBack|glutes,腘绳肌、股四头肌、斜方肌、前臂,hams|quads|traps|forearms,补齐后链与握力协同；分类可保留在背/竖脊肌路径。,硬拉/髋铰链/背伸类是后链复合动作，当前多处只保留竖脊肌或误列二头/后三角，需要补齐臀腿后链并移除不相关协同。,E7|P0,必留，线上有历史
58,PARTIAL_DEADLIFT,半程硬拉,杠铃,背,,竖脊肌/下背,lowerBack,,,通过,通过,建议调整,建议调整,半程硬拉,杠铃,背,,竖脊肌/下背、臀大肌、斜方肌,lowerBack|glutes|traps,腘绳肌、前臂,hams|forearms,半程硬拉/架上拉更偏上背斜方和竖脊稳定，移除二头/后三角协同。,硬拉/髋铰链/背伸类是后链复合动作，当前多处只保留竖脊肌或误列二头/后三角，需要补齐臀腿后链并移除不相关协同。,E7|P0,保留，线上有历史
59,RACK_PULL,架上拉,杠铃,背,,竖脊肌/下背,lowerBack,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,架上拉,杠铃,背,,竖脊肌/下背、臀大肌、斜方肌,lowerBack|glutes|traps,腘绳肌、前臂,hams|forearms,移除 biceps/deltRear，补斜方肌、臀、腘绳肌和前臂。,硬拉/髋铰链/背伸类是后链复合动作，当前多处只保留竖脊肌或误列二头/后三角，需要补齐臀腿后链并移除不相关协同。,E7|P0,保留
60,BACK_EXTENSION,山羊挺身,自重,背,,竖脊肌/下背,lowerBack,,,通过,通过,建议调整,建议调整,山羊挺身,自重,背,,竖脊肌/下背,lowerBack,臀大肌、腘绳肌,glutes|hams,补齐臀大肌和腘绳肌协同。,硬拉/髋铰链/背伸类是后链复合动作，当前多处只保留竖脊肌或误列二头/后三角，需要补齐臀腿后链并移除不相关协同。,E7|P0,必留
61,REVERSE_HYPEREXTENSION,反向山羊挺身,自重,背,,竖脊肌/下背、臀大肌,lowerBack|glutes,,,通过,通过,建议调整,建议调整,反向山羊挺身,自重,背,,臀大肌、竖脊肌/下背,glutes|lowerBack,腘绳肌,hams,反向山羊挺身更偏臀/下背后链，建议补腘绳肌协同。,硬拉/髋铰链/背伸类是后链复合动作，当前多处只保留竖脊肌或误列二头/后三角，需要补齐臀腿后链并移除不相关协同。,E7|P0,保留，线上自定义有历史
